Ticker,Original_Name,Date,Action,Conviction,Entry_Price,T+1w,T+1m,T+3m,T+6m,Verdict
NVDA,NVDA,December 4th 2024,Hold,5,145.09,-4.01,2.96,-19.18,-2.69,SAFE 🛡️
QXO,QXO,December 4th 2024,Hold,8,17.44,-5.96,-7.68,-23.57,-4.59,WRONG ❌
GXO,GXO,December 4th 2024,Buy,10,50.85,-3.01,-12.02,-24.33,-19.0,WRONG ❌
INTC,INTC,December 4th 2024,Hold,7,21.96,-8.38,-9.52,-5.24,-7.6,WRONG ❌
ALB,ALB,December 4th 2024,Buy on dips,7,100.13,1.2,-11.76,-27.39,-43.91,WRONG ❌
BNPQY,BNP,December 4th 2024,Avoid,2,27.87,5.53,4.52,36.97,58.18,WRONG ❌
CRM,CRM,December 4th 2024,Hold,5,365.66,-3.54,-10.05,-20.54,-27.91,BAD HOLD ❌
XLE,XLE,December 4th 2024,Hold,5,44.63,-1.98,-4.8,-6.3,-7.91,SAFE 🛡️
DB,DEUTSCHE BANK,December 4th 2024,Avoid,2,17.0,2.4,0.17,36.69,63.65,FLAT ➖
INTC,INTC,December 4th 2024,Hold,7,21.96,-8.38,-9.52,-5.24,-7.6,WRONG ❌
GXO,GXO,December 4th 2024,Buy,10,50.85,-3.01,-12.02,-24.33,-19.0,WRONG ❌
QXO,QXO,December 4th 2024,Hold,8,17.44,-5.96,-7.68,-23.57,-4.59,WRONG ❌
TLT,TLT,December 4th 2024,Buy,9,90.05,-1.98,-7.25,-2.55,-7.65,WRONG ❌
NVDA,NVDA,December 4th 2024,Hold,5,145.09,-4.01,2.96,-19.18,-2.69,SAFE 🛡️
BABA,BABA,December 4th 2024,Buy,8,83.52,4.77,0.69,66.05,35.37,FLAT ➖
AAP,AAP,December 4th 2024,Hold,7,43.03,3.48,8.57,-21.52,19.67,CORRECT ✅
TLT,TLT,December 4th 2024,Buy,9,90.05,-1.98,-7.25,-2.55,-7.65,WRONG ❌
XLE,XLE,December 4th 2024,Hold,5,44.63,-1.98,-4.8,-6.3,-7.91,SAFE 🛡️
AXAHY,AXA,December 4th 2024,Avoid,2,32.72,2.99,3.39,20.77,47.27,WRONG ❌
BNPQY,BNP,December 4th 2024,Avoid,2,27.87,5.53,4.52,36.97,58.18,WRONG ❌
UBS,UBS,December 4th 2024,Hold,6,31.42,-0.8,-1.2,5.55,6.47,FLAT ➖
MPW,MPW,December 4th 2024,Avoid,2,3.86,-2.14,-3.11,39.14,11.48,CORRECT ✅
ALB,ALB,December 4th 2024,Buy on dips,7,100.13,1.2,-11.76,-27.39,-43.91,WRONG ❌
INTC,INTEL,December 4th 2024,Hold,7,21.96,-8.38,-9.52,-5.24,-7.6,WRONG ❌
BBWI,BBWI,December 4th 2024,Avoid,4,36.9,0.63,-4.07,-8.68,-28.39,CORRECT ✅
NKE,NKE,December 4th 2024,Hold,5,76.57,0.61,-8.13,-0.21,-19.48,SAFE 🛡️
CRM,CRM,December 4th 2024,Hold,5,365.66,-3.54,-10.05,-20.54,-27.91,BAD HOLD ❌
ETSY,ETSY,December 4th 2024,Buy,8,59.06,-0.12,-4.15,-15.34,1.93,WRONG ❌
ALB,ALB,December 4th 2024,Buy on dips,7,100.13,1.2,-11.76,-27.39,-43.91,WRONG ❌
INTC,INTC,December 4th 2024,Hold,7,21.96,-8.38,-9.52,-5.24,-7.6,WRONG ❌
GXO,GXO,December 4th 2024,Buy,10,50.85,-3.01,-12.02,-24.33,-19.0,WRONG ❌
QXO,QXO,December 4th 2024,Hold,8,17.44,-5.96,-7.68,-23.57,-4.59,WRONG ❌
NVDA,NVDA,December 4th 2024,Hold,5,145.09,-4.01,2.96,-19.18,-2.69,SAFE 🛡️
BABA,BABA,December 4th 2024,Buy,8,83.52,4.77,0.69,66.05,35.37,FLAT ➖
AAP,AAP,December 4th 2024,Hold,7,43.03,3.48,8.57,-21.52,19.67,CORRECT ✅
ETSY,ETSY,December 4th 2024,Buy,8,59.06,-0.12,-4.15,-15.34,1.93,WRONG ❌
DIS,DIS,"December 24, 2023",Buy,7,89.15,0.77,4.3,31.24,12.45,CORRECT ✅
CPS,CPS,"December 24, 2023",Buy,10,20.06,-12.81,-13.96,-23.58,-42.77,WRONG ❌
HSY,HSY,"December 24, 2023",Hold,5,172.52,4.6,3.25,5.58,0.67,SAFE 🛡️
NKE,NKE,"December 24, 2023",Buy,8,103.76,-3.68,-6.71,-12.9,-9.36,WRONG ❌
INTC,INTC,"December 24, 2023",Buy,8,49.83,-6.83,-1.88,-16.93,-38.0,FLAT ➖
GXO,GXO,"December 24, 2023",Buy,10,62.66,-7.8,-9.35,-18.35,-23.64,WRONG ❌
CCI,CCI,"December 24, 2023",Buy,9,103.59,-1.82,-4.14,-9.15,-13.96,WRONG ❌
VFC,VFC,"December 24, 2023",Hold,7,17.91,-6.46,-8.92,-22.27,-22.61,WRONG ❌
ETSY,ETSY,"December 24, 2023",Hold,7,82.59,-4.19,-15.78,-20.39,-27.15,WRONG ❌
YETI,YETI,"December 24, 2023",Hold,6,52.82,-10.75,-14.01,-30.03,-22.49,WRONG ❌
AIS,AIS,"December 24, 2023",Hold,5,,,,,,PENDING ⏳
BABA,BABA,"December 24, 2023",Hold,8,73.0,0.98,-2.64,-5.79,-0.76,WRONG ❌
TLT,TLT,"December 24, 2023",Buy,9,91.17,-0.04,-4.86,-4.71,-3.27,WRONG ❌
^GSPC,SPX,"December 24, 2023",Hold,8,4774.75,-1.46,2.5,9.29,14.45,FLAT ➖
VFC,VF CORP,"December 24, 2023",Hold,7,17.91,-6.46,-8.92,-22.27,-22.61,WRONG ❌
AAPL,APPLE,"December 24, 2023",Hold/Reduce,6,191.24,-4.56,0.58,-11.39,7.76,PENDING ⏳
AMC,AMC,"December 24, 2023",Avoid,1,6.11,-8.67,-33.22,-33.06,-25.53,CORRECT ✅
TGT,TGT,"December 24, 2023",Hold,5,131.18,-1.67,0.82,23.33,5.1,SAFE 🛡️
EL,EL,"December 24, 2023",Hold,5,139.4,-4.38,-11.28,-3.6,-20.71,BAD HOLD ❌
AMC,AMC,"December 24, 2023",Avoid,1,6.11,-8.67,-33.22,-33.06,-25.53,CORRECT ✅
SIRI,SIRI,"December 24, 2023",Avoid,2,50.7,-1.09,-2.36,-28.89,-45.97,FLAT ➖
VFC,VFC,"December 24, 2023",Hold,7,17.91,-6.46,-8.92,-22.27,-22.61,WRONG ❌
F,F,"December 24, 2023",Avoid,3,10.83,-5.94,-8.92,6.41,-1.15,CORRECT ✅
ASML,ASML,"December 24, 2023",Hold,5,749.44,-7.78,13.95,28.58,36.44,SAFE 🛡️
MZDAY,MAZDA,"December 24, 2023",Avoid,3,5.03,-0.75,7.72,9.23,-10.17,WRONG ❌
EXPE,EXPE,"December 24, 2023",Hold,7,151.91,-5.32,-0.55,-10.34,-16.6,FLAT ➖
ADM,ADM,"December 24, 2023",Hold,5,67.24,1.02,-29.02,-12.83,-13.75,BAD HOLD ❌
NKE,NKE,"December 24, 2023",Buy,8,103.76,-3.68,-6.71,-12.9,-9.36,WRONG ❌
INTC,INTC,"December 24, 2023",Buy,8,49.83,-6.83,-1.88,-16.93,-38.0,FLAT ➖
GXO,GXO,"December 24, 2023",Buy,10,62.66,-7.8,-9.35,-18.35,-23.64,WRONG ❌
CCI,CCI,"December 24, 2023",Buy,9,103.59,-1.82,-4.14,-9.15,-13.96,WRONG ❌
ETSY,ETSY,"December 24, 2023",Hold,7,82.59,-4.19,-15.78,-20.39,-27.15,WRONG ❌
DG,DG,"December 24, 2023",Buy,8,127.21,-1.34,0.3,13.81,-2.44,FLAT ➖
YETI,YETI,"December 24, 2023",Hold,6,52.82,-10.75,-14.01,-30.03,-22.49,WRONG ❌
AIS,AIS,"December 24, 2023",Hold,5,,,,,,PENDING ⏳
BABA,BABA,"December 24, 2023",Hold,8,73.0,0.98,-2.64,-5.79,-0.76,WRONG ❌
TLT,TLT,"December 24, 2023",Buy,9,91.17,-0.04,-4.86,-4.71,-3.27,WRONG ❌
^GSPC,SPX,"December 24, 2023",Hold,8,4774.75,-1.46,2.5,9.29,14.45,FLAT ➖
VFC,VF CORP,"December 24, 2023",Hold,7,17.91,-6.46,-8.92,-22.27,-22.61,WRONG ❌
AAPL,APPLE,"December 24, 2023",Hold/Reduce,6,191.24,-4.56,0.58,-11.39,7.76,PENDING ⏳
DIS,DIS,"December 24, 2023",Buy,7,89.15,0.77,4.3,31.24,12.45,CORRECT ✅
TGT,TGT,"December 24, 2023",Hold,5,131.18,-1.67,0.82,23.33,5.1,SAFE 🛡️
EXPE,EXPE,"December 24, 2023",Hold,7,151.91,-5.32,-0.55,-10.34,-16.6,FLAT ➖
SIRI,SIRI,"December 24, 2023",Avoid,2,50.7,-1.09,-2.36,-28.89,-45.97,FLAT ➖
CPS,CPS,"December 24, 2023",Buy,10,20.06,-12.81,-13.96,-23.58,-42.77,WRONG ❌
EL,EL,"December 24, 2023",Hold,5,139.4,-4.38,-11.28,-3.6,-20.71,BAD HOLD ❌
NKE,NKE,"December 24, 2023",Buy,8,103.76,-3.68,-6.71,-12.9,-9.36,WRONG ❌
INTC,INTC,"December 24, 2023",Buy,8,49.83,-6.83,-1.88,-16.93,-38.0,FLAT ➖
GXO,GXO,"December 24, 2023",Buy,10,62.66,-7.8,-9.35,-18.35,-23.64,WRONG ❌
CCI,CCI,"December 24, 2023",Buy,9,103.59,-1.82,-4.14,-9.15,-13.96,WRONG ❌
VFC,VFC,"December 24, 2023",Hold,7,17.91,-6.46,-8.92,-22.27,-22.61,WRONG ❌
ETSY,ETSY,"December 24, 2023",Hold,7,82.59,-4.19,-15.78,-20.39,-27.15,WRONG ❌
YETI,YETI,"December 24, 2023",Hold,6,52.82,-10.75,-14.01,-30.03,-22.49,WRONG ❌
AIS,AIS,"December 24, 2023",Hold,5,,,,,,PENDING ⏳
BABA,BABA,"December 24, 2023",Hold,8,73.0,0.98,-2.64,-5.79,-0.76,WRONG ❌
TLT,TLT,"December 24, 2023",Buy,9,91.17,-0.04,-4.86,-4.71,-3.27,WRONG ❌
^GSPC,SPX,"December 24, 2023",Hold,8,4774.75,-1.46,2.5,9.29,14.45,FLAT ➖
VFC,VF CORP,"December 24, 2023",Hold,7,17.91,-6.46,-8.92,-22.27,-22.61,WRONG ❌
AAPL,APPLE,"December 24, 2023",Hold/Reduce,6,191.24,-4.56,0.58,-11.39,7.76,PENDING ⏳
AMC,AMC,"December 24, 2023",Avoid,1,6.11,-8.67,-33.22,-33.06,-25.53,CORRECT ✅
DIS,DIS,"December 24, 2023",Buy,7,89.15,0.77,4.3,31.24,12.45,CORRECT ✅
TGT,TGT,"December 24, 2023",Hold,5,131.18,-1.67,0.82,23.33,5.1,SAFE 🛡️
HSY,HSY,"December 24, 2023",Hold,5,172.52,4.6,3.25,5.58,0.67,SAFE 🛡️
DG,DG,"December 24, 2023",Buy,8,127.21,-1.34,0.3,13.81,-2.44,FLAT ➖
ADM,ADM,"December 24, 2023",Hold,5,67.24,1.02,-29.02,-12.83,-13.75,BAD HOLD ❌
HSY,HSY,"December 24, 2023",Hold,5,172.52,4.6,3.25,5.58,0.67,SAFE 🛡️
DG,DG,"December 24, 2023",Buy,8,127.21,-1.34,0.3,13.81,-2.44,FLAT ➖
ADM,ADM,"December 24, 2023",Hold,5,67.24,1.02,-29.02,-12.83,-13.75,BAD HOLD ❌
ASML,ASML,"December 24, 2023",Hold,5,749.44,-7.78,13.95,28.58,36.44,SAFE 🛡️
MZDAY,MAZDA,"December 24, 2023",Avoid,3,5.03,-0.75,7.72,9.23,-10.17,WRONG ❌
ASML,ASML,"December 24, 2023",Hold,5,749.44,-7.78,13.95,28.58,36.44,SAFE 🛡️
F,F,"December 24, 2023",Avoid,3,10.83,-5.94,-8.92,6.41,-1.15,CORRECT ✅
MZDAY,MAZDA,"December 24, 2023",Avoid,3,5.03,-0.75,7.72,9.23,-10.17,WRONG ❌
EL,EL,"December 24, 2023",Hold,5,139.4,-4.38,-11.28,-3.6,-20.71,BAD HOLD ❌
F,F,"December 24, 2023",Avoid,3,10.83,-5.94,-8.92,6.41,-1.15,CORRECT ✅
CPS,CPS,"December 24, 2023",Buy,10,20.06,-12.81,-13.96,-23.58,-42.77,WRONG ❌
SIRI,SIRI,"December 24, 2023",Avoid,2,50.7,-1.09,-2.36,-28.89,-45.97,FLAT ➖
EXPE,EXPE,"December 24, 2023",Hold,7,151.91,-5.32,-0.55,-10.34,-16.6,FLAT ➖
AMGN,AMGN,December 2024,Watch,6,269.33,-0.17,-6.77,12.65,5.38,WRONG ❌
CVNA,CVNA,December 2024,No Interest,1,254.94,-4.28,-21.72,-13.92,28.33,CORRECT ✅
OXY,OXY,December 2024,Pass,4,49.11,-3.37,-0.76,-7.46,-18.34,PENDING ⏳
MAT,MAT,December 2024,Pass,2,18.92,1.11,-6.29,11.1,0.11,CORRECT ✅
ABEV,ABEV,December 2024,Pass,3,2.02,5.02,-11.82,0.23,19.82,CORRECT ✅
HPP,HPP,December 2024,Pass,2,26.53,-7.12,-24.54,-18.21,-50.92,CORRECT ✅
SLX,SLX,December 2024,Pass,2,69.0,-2.56,-15.77,-11.13,-10.34,CORRECT ✅
EFT,EFT,December 2024,Further Exploration,6,12.2,0.37,-1.91,0.16,-4.51,FLAT ➖
IJR,S&P 600,December 2024,Buy,7,124.35,-1.94,-8.51,-13.11,-15.89,WRONG ❌
AAPL,AAPL,December 2024,Underweight,3,238.51,2.99,1.78,-0.54,-15.97,FLAT ➖
XLB,XLB,December 2024,Buy,8,46.43,-2.99,-11.69,-7.69,-7.93,WRONG ❌
CE,CE,December 2024,Interesting,6,74.04,-2.43,-7.81,-36.61,-28.73,WRONG ❌
TGT,TGT,December 2024,Watch,6,125.2,3.5,4.95,-6.83,-26.64,CORRECT ✅
CE,CE,December 2024,Interesting,6,74.04,-2.43,-7.81,-36.61,-28.73,WRONG ❌
ALB,ALB,December 2024,Buy,10,108.61,-1.47,-23.12,-36.9,-49.42,WRONG ❌
XBI,XBI,December 2024,Buy,9,99.26,-1.08,-7.83,-13.8,-20.25,WRONG ❌
GXO,GXO,December 2024,Buy,9,60.4,-17.63,-28.69,-37.0,-31.89,WRONG ❌
BABA,BABA,December 2024,Hold,8,84.52,7.41,-1.16,52.19,32.45,FLAT ➖
TLT,TLT,December 2024,Buy,7,89.87,-0.37,-6.35,-0.34,-6.43,WRONG ❌
VRSN,VRSN,December 2024,Hold,5,190.83,4.14,6.55,24.76,41.94,SAFE 🛡️
BAX,BAX,December 2024,Hold,7,32.95,-5.07,-12.79,4.41,-8.14,WRONG ❌
CSCO,CSCO,December 2024,Watch,6,57.94,-0.81,-0.56,7.54,7.51,FLAT ➖
BABA,BABA,December 2024,Hold,8,84.52,7.41,-1.16,52.19,32.45,FLAT ➖
AMGN,AMGN,December 2024,Watch,6,269.33,-0.17,-6.77,12.65,5.38,WRONG ❌
BAX,BAX,December 2024,Hold,7,32.95,-5.07,-12.79,4.41,-8.14,WRONG ❌
XMAG,XMAG,December 2024,Why Not,6,20.64,-1.16,-5.2,-1.65,-1.36,WRONG ❌
CVNA,CVNA,December 2024,No Interest,1,254.94,-4.28,-21.72,-13.92,28.33,CORRECT ✅
OXY,OXY,December 2024,Pass,4,49.11,-3.37,-0.76,-7.46,-18.34,PENDING ⏳
MAT,MAT,December 2024,Pass,2,18.92,1.11,-6.29,11.1,0.11,CORRECT ✅
ABEV,ABEV,December 2024,Pass,3,2.02,5.02,-11.82,0.23,19.82,CORRECT ✅
HPP,HPP,December 2024,Pass,2,26.53,-7.12,-24.54,-18.21,-50.92,CORRECT ✅
SLX,SLX,December 2024,Pass,2,69.0,-2.56,-15.77,-11.13,-10.34,CORRECT ✅
EFT,EFT,December 2024,Further Exploration,6,12.2,0.37,-1.91,0.16,-4.51,FLAT ➖
IJR,S&P 600,December 2024,Buy,7,124.35,-1.94,-8.51,-13.11,-15.89,WRONG ❌
AAPL,AAPL,December 2024,Underweight,3,238.51,2.99,1.78,-0.54,-15.97,FLAT ➖
XLB,XLB,December 2024,Buy,8,46.43,-2.99,-11.69,-7.69,-7.93,WRONG ❌
TGT,TGT,December 2024,Watch,6,125.2,3.5,4.95,-6.83,-26.64,CORRECT ✅
CSCO,CSCO,December 2024,Watch,6,57.94,-0.81,-0.56,7.54,7.51,FLAT ➖
GILD,GILD,December 2024,Watch,6,90.7,-3.65,-1.45,24.4,18.89,FLAT ➖
JNJ,JNJ,December 2024,Watch,6,150.2,-3.36,-6.96,8.93,1.93,WRONG ❌
ALB,ALB,December 2024,Buy,10,108.61,-1.47,-23.12,-36.9,-49.42,WRONG ❌
XBI,XBI,December 2024,Buy,9,99.26,-1.08,-7.83,-13.8,-20.25,WRONG ❌
GXO,GXO,December 2024,Buy,9,60.4,-17.63,-28.69,-37.0,-31.89,WRONG ❌
GILD,GILD,December 2024,Watch,6,90.7,-3.65,-1.45,24.4,18.89,FLAT ➖
TLT,TLT,December 2024,Buy,7,89.87,-0.37,-6.35,-0.34,-6.43,WRONG ❌
VRSN,VRSN,December 2024,Hold,5,190.83,4.14,6.55,24.76,41.94,SAFE 🛡️
PEP,PEP,December 2024,Watch,6,155.46,-1.36,-7.09,-3.52,-17.98,WRONG ❌
XMAG,XMAG,December 2024,Why Not,6,20.64,-1.16,-5.2,-1.65,-1.36,WRONG ❌
GILD,GILD,December 2024,Watch,6,90.7,-3.65,-1.45,24.4,18.89,FLAT ➖
CE,CE,December 2024,Interesting,6,74.04,-2.43,-7.81,-36.61,-28.73,WRONG ❌
ALB,ALB,December 2024,Buy,10,108.61,-1.47,-23.12,-36.9,-49.42,WRONG ❌
XBI,XBI,December 2024,Buy,9,99.26,-1.08,-7.83,-13.8,-20.25,WRONG ❌
GXO,GXO,December 2024,Buy,9,60.4,-17.63,-28.69,-37.0,-31.89,WRONG ❌
BABA,BABA,December 2024,Hold,8,84.52,7.41,-1.16,52.19,32.45,FLAT ➖
TLT,TLT,December 2024,Buy,7,89.87,-0.37,-6.35,-0.34,-6.43,WRONG ❌
VRSN,VRSN,December 2024,Hold,5,190.83,4.14,6.55,24.76,41.94,SAFE 🛡️
CSCO,CSCO,December 2024,Watch,6,57.94,-0.81,-0.56,7.54,7.51,FLAT ➖
AMGN,AMGN,December 2024,Watch,6,269.33,-0.17,-6.77,12.65,5.38,WRONG ❌
PEP,PEP,December 2024,Watch,6,155.46,-1.36,-7.09,-3.52,-17.98,WRONG ❌
PEP,PEP,December 2024,Watch,6,155.46,-1.36,-7.09,-3.52,-17.98,WRONG ❌
JNJ,JNJ,December 2024,Watch,6,150.2,-3.36,-6.96,8.93,1.93,WRONG ❌
BAX,BAX,December 2024,Hold,7,32.95,-5.07,-12.79,4.41,-8.14,WRONG ❌
XMAG,XMAG,December 2024,Why Not,6,20.64,-1.16,-5.2,-1.65,-1.36,WRONG ❌
MAT,MAT,December 2024,Pass,2,18.92,1.11,-6.29,11.1,0.11,CORRECT ✅
CVNA,CVNA,December 2024,No Interest,1,254.94,-4.28,-21.72,-13.92,28.33,CORRECT ✅
TGT,TGT,December 2024,Watch,6,125.2,3.5,4.95,-6.83,-26.64,CORRECT ✅
XLB,XLB,December 2024,Buy,8,46.43,-2.99,-11.69,-7.69,-7.93,WRONG ❌
AAPL,AAPL,December 2024,Underweight,3,238.51,2.99,1.78,-0.54,-15.97,FLAT ➖
IJR,S&P 600,December 2024,Buy,7,124.35,-1.94,-8.51,-13.11,-15.89,WRONG ❌
EFT,EFT,December 2024,Further Exploration,6,12.2,0.37,-1.91,0.16,-4.51,FLAT ➖
SLX,SLX,December 2024,Pass,2,69.0,-2.56,-15.77,-11.13,-10.34,CORRECT ✅
HPP,HPP,December 2024,Pass,2,26.53,-7.12,-24.54,-18.21,-50.92,CORRECT ✅
ABEV,ABEV,December 2024,Pass,3,2.02,5.02,-11.82,0.23,19.82,CORRECT ✅
JNJ,JNJ,December 2024,Watch,6,150.2,-3.36,-6.96,8.93,1.93,WRONG ❌
OXY,OXY,December 2024,Pass,4,49.11,-3.37,-0.76,-7.46,-18.34,PENDING ⏳
BAX,BAXTER,December 19th 2024,Buy,8,28.39,1.04,8.93,16.27,4.19,CORRECT ✅
VALE,VALE,December 19th 2024,Hold,5,8.17,1.59,2.28,20.01,10.07,SAFE 🛡️
PYPL,PYPL,December 19th 2024,Buy,9,86.58,0.09,3.45,-19.72,-20.98,CORRECT ✅
XBI,XBI,December 19th 2024,Buy,8,89.77,1.72,0.78,-3.58,-7.95,FLAT ➖
BABA,BABA,December 19th 2024,Buy,10,82.91,0.89,1.27,62.39,36.89,FLAT ➖
CPS,COOPER STANDARD,December 19th 2024,Buy,8,13.47,2.9,20.71,25.69,55.75,CORRECT ✅
ETSY,ETSY,December 19th 2024,Buy,8,57.14,-7.75,-8.91,-21.37,-3.22,WRONG ❌
BA,BA,December 19th 2024,Buy,8,177.04,2.08,-0.84,-2.38,11.66,FLAT ➖
DIS,DIS,December 19th 2024,Buy,7,110.15,0.16,-2.4,-11.23,5.83,FLAT ➖
TLT,TLT,December 19th 2024,Buy,7,84.4,-0.81,0.18,4.61,0.44,FLAT ➖
VFC,VFC,December 19th 2024,Buy,9,21.19,0.46,14.44,-24.66,-45.1,CORRECT ✅
HDSN,HUDSON TECHNOLOGIES,December 19th 2024,Pass,2,5.3,1.89,14.72,13.77,48.3,WRONG ❌
ETSY,ETSY,December 19th 2024,Buy,8,57.14,-7.75,-8.91,-21.37,-3.22,WRONG ❌
PZZA,PZZA,December 19th 2024,Hold,5,38.16,-0.98,-6.54,15.3,25.69,SAFE 🛡️
YETI,YETI,December 19th 2024,Hold,5,39.63,-0.71,-4.77,-12.47,-26.09,SAFE 🛡️
BAX,BAXTER,December 19th 2024,Buy,8,28.39,1.04,8.93,16.27,4.19,CORRECT ✅
CPS,COOPER STANDARD,December 19th 2024,Buy,8,13.47,2.9,20.71,25.69,55.75,CORRECT ✅
VFC,VFC,December 19th 2024,Buy,9,21.19,0.46,14.44,-24.66,-45.1,CORRECT ✅
PYPL,PYPL,December 19th 2024,Buy,9,86.58,0.09,3.45,-19.72,-20.98,CORRECT ✅
XBI,XBI,December 19th 2024,Buy,8,89.77,1.72,0.78,-3.58,-7.95,FLAT ➖
BABA,BABA,December 19th 2024,Buy,10,82.91,0.89,1.27,62.39,36.89,FLAT ➖
BA,BA,December 19th 2024,Buy,8,177.04,2.08,-0.84,-2.38,11.66,FLAT ➖
DIS,DIS,December 19th 2024,Buy,7,110.15,0.16,-2.4,-11.23,5.83,FLAT ➖
VFC,VFC,December 19th 2024,Buy,9,21.19,0.46,14.44,-24.66,-45.1,CORRECT ✅
TLT,TLT,December 19th 2024,Buy,7,84.4,-0.81,0.18,4.61,0.44,FLAT ➖
CPS,COOPER STANDARD,December 19th 2024,Buy,8,13.47,2.9,20.71,25.69,55.75,CORRECT ✅
VALE,VALE,December 19th 2024,Hold,5,8.17,1.59,2.28,20.01,10.07,SAFE 🛡️
TLT,TLT,December 19th 2024,Buy,7,84.4,-0.81,0.18,4.61,0.44,FLAT ➖
DIS,DIS,December 19th 2024,Buy,7,110.15,0.16,-2.4,-11.23,5.83,FLAT ➖
BA,BA,December 19th 2024,Buy,8,177.04,2.08,-0.84,-2.38,11.66,FLAT ➖
BABA,BABA,December 19th 2024,Buy,10,82.91,0.89,1.27,62.39,36.89,FLAT ➖
HDSN,HUDSON TECHNOLOGIES,December 19th 2024,Pass,2,5.3,1.89,14.72,13.77,48.3,WRONG ❌
PZZA,PZZA,December 19th 2024,Hold,5,38.16,-0.98,-6.54,15.3,25.69,SAFE 🛡️
YETI,YETI,December 19th 2024,Hold,5,39.63,-0.71,-4.77,-12.47,-26.09,SAFE 🛡️
ETSY,ETSY,December 19th 2024,Buy,8,57.14,-7.75,-8.91,-21.37,-3.22,WRONG ❌
BAX,BAXTER,December 19th 2024,Buy,8,28.39,1.04,8.93,16.27,4.19,CORRECT ✅
YETI,YETI,December 19th 2024,Hold,5,39.63,-0.71,-4.77,-12.47,-26.09,SAFE 🛡️
PZZA,PZZA,December 19th 2024,Hold,5,38.16,-0.98,-6.54,15.3,25.69,SAFE 🛡️
HDSN,HUDSON TECHNOLOGIES,December 19th 2024,Pass,2,5.3,1.89,14.72,13.77,48.3,WRONG ❌
VALE,VALE,December 19th 2024,Hold,5,8.17,1.59,2.28,20.01,10.07,SAFE 🛡️
XBI,XBI,December 19th 2024,Buy,8,89.77,1.72,0.78,-3.58,-7.95,FLAT ➖
PYPL,PYPL,December 19th 2024,Buy,9,86.58,0.09,3.45,-19.72,-20.98,CORRECT ✅
NVDA,NVDA,December 12 2024,Avoid,8,137.3,-4.85,-4.06,-15.84,4.01,CORRECT ✅
ETSY,ETSY,December 12 2024,Buy,8,58.58,-2.46,-8.83,-24.21,2.77,WRONG ❌
BA,BA,December 12 2024,Buy,10,167.75,5.54,-0.44,-5.03,27.57,FLAT ➖
BABA,BABA,December 12 2024,Buy,10,87.75,-5.51,-8.46,55.05,34.85,WRONG ❌
CRI,CRI,December 12 2024,Buy,9,52.98,-1.46,-3.75,-26.64,-40.2,WRONG ❌
AAP,AAP,December 12 2024,Buy,9,43.06,-4.72,2.04,-12.92,18.55,FLAT ➖
VFC,VF Corp,December 12 2024,Hold,7,20.55,3.09,9.8,-22.09,-38.39,CORRECT ✅
INTC,INTC,December 12 2024,Monitor,7,20.78,-8.28,-7.6,14.05,-0.48,WRONG ❌
DIS,DIS,December 12 2024,Hold,7,113.14,-2.64,-5.48,-15.32,4.48,WRONG ❌
KRE,KRE,December 12 2024,Monitor,6,63.31,-8.12,-5.23,-14.62,-9.37,WRONG ❌
DIS,DIS,December 12 2024,Hold,7,113.14,-2.64,-5.48,-15.32,4.48,WRONG ❌
DIS,DIS,December 12 2024,Hold,7,113.14,-2.64,-5.48,-15.32,4.48,WRONG ❌
BABA,BABA,December 12 2024,Buy,10,87.75,-5.51,-8.46,55.05,34.85,WRONG ❌
VFC,VF Corp,December 12 2024,Hold,7,20.55,3.09,9.8,-22.09,-38.39,CORRECT ✅
KRE,KRE,December 12 2024,Monitor,6,63.31,-8.12,-5.23,-14.62,-9.37,WRONG ❌
NVDA,NVDA,December 12 2024,Avoid,8,137.3,-4.85,-4.06,-15.84,4.01,CORRECT ✅
INTC,INTC,December 12 2024,Monitor,7,20.78,-8.28,-7.6,14.05,-0.48,WRONG ❌
ETSY,ETSY,December 12 2024,Buy,8,58.58,-2.46,-8.83,-24.21,2.77,WRONG ❌
VFC,VF Corp,December 12 2024,Hold,7,20.55,3.09,9.8,-22.09,-38.39,CORRECT ✅
CRI,CRI,December 12 2024,Buy,9,52.98,-1.46,-3.75,-26.64,-40.2,WRONG ❌
AAP,AAP,December 12 2024,Buy,9,43.06,-4.72,2.04,-12.92,18.55,FLAT ➖
BA,BA,December 12 2024,Buy,10,167.75,5.54,-0.44,-5.03,27.57,FLAT ➖
BA,BA,December 12 2024,Buy,10,167.75,5.54,-0.44,-5.03,27.57,FLAT ➖
BABA,BABA,December 12 2024,Buy,10,87.75,-5.51,-8.46,55.05,34.85,WRONG ❌
CRI,CRI,December 12 2024,Buy,9,52.98,-1.46,-3.75,-26.64,-40.2,WRONG ❌
ETSY,ETSY,December 12 2024,Buy,8,58.58,-2.46,-8.83,-24.21,2.77,WRONG ❌
INTC,INTC,December 12 2024,Monitor,7,20.78,-8.28,-7.6,14.05,-0.48,WRONG ❌
NVDA,NVDA,December 12 2024,Avoid,8,137.3,-4.85,-4.06,-15.84,4.01,CORRECT ✅
KRE,KRE,December 12 2024,Monitor,6,63.31,-8.12,-5.23,-14.62,-9.37,WRONG ❌
AAP,AAP,December 12 2024,Buy,9,43.06,-4.72,2.04,-12.92,18.55,FLAT ➖
